team,player,period,min,sec,pass zone,x,y,x_end,y_end,pass length,pass angle,outcome
Real Madrid,Karim Benzema,1,0,1,Back,50.4,49.7,37.6,59.2,14.9,2.7,1
Real Madrid,Toni Kroos,1,0,2,Back,38.9,57.1,38.0,45.8,7.7,4.6,1
Real Madrid,Luka Modric,1,0,5,Back,32.9,36.9,30.4,53.0,11.3,1.8,1
Real Madrid,Casemiro,1,0,6,Back,30.4,53.0,20.7,37.1,14.9,4.0,1
Real Madrid,Raphael Varane,1,0,7,Back,20.7,37.1,22.2,7.1,20.5,4.8,1
Real Madrid,Daniel Carvajal,1,0,9,Back,22.5,12.6,8.8,24.4,16.5,2.6,1
Real Madrid,Raphael Varane,1,0,12,Back,8.4,31.3,3.3,54.9,16.9,1.9,1
Real Madrid,Thibaut Courtois,1,0,15,Back,6.9,54.6,4.3,27.3,18.8,4.6,1
Real Madrid,Raphael Varane,1,0,18,Back,4.3,19.7,10.0,2.9,12.9,5.2,1
Real Madrid,Daniel Carvajal,1,0,19,Back,11.2,4.4,8.4,19.2,10.5,1.9,1
Real Madrid,Raphael Varane,1,0,23,Back,14.2,25.3,22.0,81.5,39.1,1.4,1
Real Madrid,Sergio Ramos,1,0,26,Back,28.9,87.4,38.5,98.6,12.6,0.6,1
Real Madrid,Marcelo,1,0,29,Back,39.2,95.6,39.1,88.6,4.8,4.7,1
Real Madrid,Toni Kroos,1,0,31,Center,38.2,82.6,50.5,46.0,28.0,5.2,1
Real Madrid,Luka Modric,1,0,34,Right,53.2,45.4,79.9,12.8,35.7,5.6,1
Real Madrid,Gareth Bale,1,0,39,Center,85.8,24.9,91.7,55.4,21.6,1.3,0
Leganés,Iván Cuéllar,1,1,17,Left,10.7,53.6,61.1,85.0,57.1,0.4,0
Real Madrid,Casemiro,1,1,20,Center,41.0,15.8,68.5,24.0,29.4,0.2,0
Leganés,Dimitrios Siovas,1,1,22,Back,31.6,86.2,36.9,91.2,6.5,0.5,1
Real Madrid,Karim Benzema,1,1,25,Right,67.8,22.5,79.3,6.8,16.1,5.6,1
Real Madrid,Gareth Bale,1,1,27,Right,77.6,5.5,67.7,15.5,12.4,2.6,1
Leganés,Jonathan Silva,1,1,32,Back,28.1,93.5,48.4,91.2,21.4,6.2,0
Real Madrid,Raphael Varane,1,1,33,Right,50.5,9.8,64.2,3.4,15.0,6.0,1
Real Madrid,Gareth Bale,1,1,34,Right,64.4,3.1,57.0,11.3,9.6,2.5,0
Leganés,Nabil El Zhar,1,1,36,Left,43.9,92.0,55.6,81.1,14.3,5.7,1
Leganés,Michael Santos,1,1,36,Back,56.3,80.8,46.0,76.1,11.3,3.4,1
Leganés,Rubén Pérez,1,1,37,Left,43.4,77.9,96.0,100.0,57.5,0.3,0
Real Madrid,Daniel Carvajal,1,1,52,Back,6.0,0.0,9.3,63.1,44.2,1.5,1
Real Madrid,Sergio Ramos,1,1,56,Back,9.3,63.1,22.3,88.0,21.7,0.9,1
Real Madrid,Marcelo,1,1,59,Back,27.4,87.4,39.0,76.9,14.1,5.8,1
Real Madrid,Toni Kroos,1,2,0,Back,39.2,76.9,32.7,89.3,10.8,2.3,1
Real Madrid,Marcelo,1,2,2,Back,32.7,89.1,29.6,75.9,9.5,4.4,1
Real Madrid,Sergio Ramos,1,2,4,Back,29.9,70.0,32.8,15.2,37.4,4.8,1
Real Madrid,Daniel Carvajal,1,2,8,Right,39.4,8.9,52.2,4.4,13.8,6.1,1
Real Madrid,Gareth Bale,1,2,10,Back,47.9,3.1,45.4,33.1,20.6,1.7,1
Real Madrid,Casemiro,1,2,13,Back,40.9,32.2,37.6,75.0,29.3,1.7,1
Real Madrid,Sergio Ramos,1,2,16,Left,37.6,75.0,53.7,96.8,22.5,0.7,1
Real Madrid,Marco Asensio,1,2,19,Left,55.1,94.1,57.9,98.3,4.1,0.8,1
Real Madrid,Marcelo,1,2,21,Left,58.4,98.4,54.3,97.7,4.3,3.3,1
Real Madrid,Marco Asensio,1,2,23,Back,53.8,90.0,39.1,44.9,34.3,4.2,1
Real Madrid,Raphael Varane,1,2,27,Right,38.9,38.8,53.3,6.4,26.7,5.3,1
Real Madrid,Daniel Carvajal,1,2,29,Right,54.4,4.9,65.1,3.2,11.3,6.2,1
Real Madrid,Gareth Bale,1,2,31,Right,65.4,3.4,82.5,4.9,18.0,0.1,1
Leganés,Jonathan Silva,1,2,36,Back,11.5,95.3,17.8,94.8,6.6,6.2,0
Real Madrid,Gareth Bale,1,2,37,Right,76.2,7.6,76.8,13.7,4.2,1.4,1
Real Madrid,Luka Modric,1,2,41,Center,71.0,6.2,66.4,76.0,47.7,1.7,1
Real Madrid,Marcelo,1,2,43,Center,67.2,76.3,69.1,70.5,4.4,5.2,1
Real Madrid,Toni Kroos,1,2,44,Center,68.6,57.2,69.4,45.1,8.3,4.8,1
Real Madrid,Luka Modric,1,2,46,Center,70.0,47.3,74.4,55.2,7.1,0.9,1
Real Madrid,Marco Asensio,1,2,47,Center,74.4,54.9,67.0,64.6,10.2,2.4,0
Leganés,Unai Bustinza,1,3,40,Center,33.9,23.6,75.7,76.7,56.8,0.7,1
Leganés,Guido Carrillo,1,3,44,Center,75.2,77.5,81.2,61.2,12.7,5.2,0
Real Madrid,Raphael Varane,1,3,45,Back,22.1,40.3,32.9,78.1,28.1,1.2,1
Real Madrid,Marcelo,1,3,50,Left,31.1,77.8,55.5,100.0,30.1,0.6,0
Leganés,Juanfran,1,3,59,Back,51.3,0.0,33.4,6.4,19.6,2.8,1
Leganés,Unai Bustinza,1,4,1,Back,32.4,9.1,33.0,68.4,40.3,1.6,1
Leganés,Dimitrios Siovas,1,4,5,Left,39.8,78.5,59.5,96.0,23.9,0.5,1
Leganés,Jonathan Silva,1,4,8,Left,59.5,96.0,86.4,87.1,28.9,6.1,0
Real Madrid,Raphael Varane,1,4,13,Back,4.4,3.1,6.3,2.2,2.1,6.0,0
Real Madrid,Daniel Carvajal,1,4,20,Back,19.7,0.0,28.8,4.8,10.6,0.4,1
Real Madrid,Gareth Bale,1,4,21,Back,23.8,4.1,17.2,2.5,7.0,3.3,1
Real Madrid,Daniel Carvajal,1,4,22,Back,22.9,2.3,29.5,8.1,8.0,0.5,0
Leganés,Gerard Gumbau,1,4,24,Left,69.5,89.9,76.3,96.6,8.5,0.6,0
Real Madrid,Gareth Bale,1,4,26,Back,30.9,6.2,28.9,11.6,4.2,2.1,1
Real Madrid,Luka Modric,1,4,28,Back,30.1,17.4,37.6,44.3,19.9,1.2,1
Real Madrid,Marco Asensio,1,4,35,Left,60.7,93.6,55.1,98.3,6.7,2.6,1
Real Madrid,Marcelo,1,4,38,Back,55.8,93.2,46.4,75.4,15.6,4.0,1
Real Madrid,Sergio Ramos,1,4,41,Back,46.3,70.6,46.3,45.2,17.3,4.7,1
Real Madrid,Casemiro,1,4,44,Right,52.2,36.4,62.0,3.8,24.4,5.1,1
Real Madrid,Gareth Bale,1,4,49,Back,58.9,2.8,45.7,37.9,27.6,2.1,1
Real Madrid,Raphael Varane,1,4,52,Back,46.2,45.8,47.7,76.7,21.1,1.5,1
Real Madrid,Toni Kroos,1,4,55,Left,54.1,83.5,63.0,98.3,13.7,0.8,1
Real Madrid,Marcelo,1,4,58,Center,63.0,98.3,81.2,75.4,24.7,5.6,1
Leganés,Iván Cuéllar,1,5,36,Center,5.1,42.8,62.9,23.9,62.0,6.1,0
Real Madrid,Raphael Varane,1,5,40,Left,43.3,72.6,71.4,91.4,32.2,0.4,0
Leganés,Unai Bustinza,1,5,45,Right,34.3,7.4,78.8,2.6,46.8,6.2,0
Leganés,Juanfran,1,5,58,Right,72.7,0.0,63.6,11.9,13.4,2.4,1
Leganés,Rubén Pérez,1,6,1,Back,61.2,11.3,43.8,12.3,18.3,3.1,1
Leganés,Unai Bustinza,1,6,4,Back,39.3,20.4,35.3,66.7,31.8,1.7,1
Leganés,Dimitrios Siovas,1,6,12,Back,34.8,76.0,30.6,30.3,31.4,4.6,1
Leganés,Unai Bustinza,1,6,15,Back,30.4,29.8,35.6,5.6,17.3,5.0,1
Leganés,Juanfran,1,6,18,Right,34.9,6.2,72.3,5.0,39.3,6.3,1
Real Madrid,Sergio Ramos,1,6,22,Back,24.4,94.5,13.1,45.8,35.2,4.4,1
Real Madrid,Raphael Varane,1,6,27,Back,16.9,34.8,21.9,18.8,12.1,5.2,1
Real Madrid,Daniel Carvajal,1,6,30,Back,26.0,20.3,22.5,42.1,15.3,1.8,1
Real Madrid,Raphael Varane,1,6,33,Back,25.7,47.6,31.5,74.4,19.2,1.2,1
Real Madrid,Sergio Ramos,1,6,35,Left,34.7,74.4,52.2,97.2,24.0,0.7,1
Real Madrid,Marcelo,1,6,38,Left,51.3,97.1,51.3,92.7,3.0,4.7,1
Real Madrid,Marco Asensio,1,6,39,Left,51.3,92.6,51.8,97.5,3.4,1.4,1
Real Madrid,Marcelo,1,6,40,Back,52.1,97.7,47.2,95.3,5.4,3.4,1
